,geoid,date,value
90,False,2011-05-09,1
93,0632,2012-04-27,1
93,3907,2012-04-27,1
93,0643,2012-04-27,1
93,5502,2012-04-27,1
93,3201,2012-04-27,1
93,4101,2012-04-27,1
93,6600,2012-04-27,1
93,4201,2012-04-27,1
93,1205,2012-04-27,1
93,0624,2012-04-27,1
93,2903,2012-04-27,1
93,0627,2012-04-27,1
93,4401,2012-04-27,1
93,3609,2012-04-27,1
93,4506,2012-04-27,1
93,3614,2012-04-27,1
93,1707,2012-04-27,1
93,4835,2012-04-27,1
93,2404,2012-04-27,1
93,2705,2012-04-27,1
93,0620,2012-04-27,1
93,0651,2012-04-27,1
93,4820,2012-04-27,1
93,4809,2012-04-27,1
93,0403,2012-04-27,1
93,1704,2012-04-27,1
93,0644,2012-04-27,1
93,1220,2012-04-27,1
93,3622,2012-04-27,1
93,4815,2012-04-27,1
93,1502,2012-04-27,1
93,0617,2012-04-27,1
93,3603,2012-04-27,1
93,3909,2012-04-27,1
93,2509,2012-04-27,1
93,3910,2012-04-27,1
93,0613,2012-04-27,1
93,2609,2012-04-27,1
93,1305,2012-04-27,1
93,1703,2012-04-27,1
93,0619,2012-04-27,1
93,3617,2012-04-27,1
93,3503,2012-04-27,1
93,3612,2012-04-27,1
93,0606,2012-04-27,1
93,2704,2012-04-27,1
93,0609,2012-04-27,1
93,3605,2012-04-27,1
93,0611,2012-04-27,1
93,5504,2012-04-27,1
93,4218,2012-04-27,1
93,2501,2012-04-27,1
93,3621,2012-04-27,1
93,3406,2012-04-27,1
93,0407,2012-04-27,1
93,7200,2012-04-27,1
93,0802,2012-04-27,1
93,3613,2012-04-27,1
93,4816,2012-04-27,1
93,0637,2012-04-27,1
93,0640,2012-04-27,1
93,1701,2012-04-27,1
93,3913,2012-04-27,1
93,0638,2012-04-27,1
93,0628,2012-04-27,1
93,4213,2012-04-27,1
93,3615,2012-04-27,1
93,3625,2012-04-27,1
93,0614,2012-04-27,1
93,0613,2012-04-27,1
93,2802,2012-04-27,1
93,4205,2012-04-27,1
93,0605,2012-04-27,1
93,3620,2012-04-27,1
93,3610,2012-04-27,1
93,2503,2012-04-27,1
93,False,2012-04-27,1
93,1223,2012-04-27,1
93,0643,2012-04-27,1
93,3712,2012-04-27,1
93,0633,2012-04-27,1
93,0606,2012-04-27,1
96,0632,2011-04-08,1
96,0643,2011-04-08,1
96,0637,2011-04-08,1
96,6600,2011-04-08,1
96,0642,2011-04-08,1
96,1807,2011-04-08,1
96,7800,2011-04-08,1
96,4401,2011-04-08,1
96,2613,2011-04-08,1
96,1802,2011-04-08,1
96,0626,2011-04-08,1
96,3616,2011-04-08,1
96,0620,2011-04-08,1
96,2504,2011-04-08,1
96,4820,2011-04-08,1
96,0403,2011-04-08,1
96,1220,2011-04-08,1
96,3622,2011-04-08,1
96,3412,2011-04-08,1
96,0617,2011-04-08,1
96,3603,2011-04-08,1
96,4830,2011-04-08,1
96,0613,2011-04-08,1
96,2609,2011-04-08,1
96,1902,2011-04-08,1
96,0619,2011-04-08,1
96,3503,2011-04-08,1
96,3612,2011-04-08,1
96,2505,2011-04-08,1
96,2704,2011-04-08,1
96,5307,2011-04-08,1
96,2502,2011-04-08,1
96,0631,2011-04-08,1
96,5504,2011-04-08,1
96,False,2011-04-08,1
96,7200,2011-04-08,1
96,0802,2011-04-08,1
96,3613,2011-04-08,1
96,4816,2011-04-08,1
96,0637,2011-04-08,1
96,0640,2011-04-08,1
96,1701,2011-04-08,1
96,6900,2011-04-08,1
96,1709,2011-04-08,1
96,0613,2011-04-08,1
96,4001,2011-04-08,1
96,3620,2011-04-08,1
96,3610,2011-04-08,1
96,False,2011-04-08,1
96,0606,2011-04-08,1
96,4101,2011-04-08,1
97,0613,2012-07-18,1
97,0637,2012-07-18,1
97,4103,2012-07-18,1
97,2507,2012-07-18,1
97,1214,2012-07-18,1
97,7800,2012-07-18,1
97,0627,2012-07-18,1
97,4401,2012-07-18,1
97,2613,2012-07-18,1
97,3609,2012-07-18,1
97,2613,2012-07-18,1
97,0653,2012-07-18,1
97,2705,2012-07-18,1
97,3616,2012-07-18,1
97,0651,2012-07-18,1
97,0403,2012-07-18,1
97,1704,2012-07-18,1
97,0644,2012-07-18,1
97,1220,2012-07-18,1
97,0904,2012-07-18,1
97,3622,2012-07-18,1
97,0617,2012-07-18,1
97,4818,2012-07-18,1
97,4830,2012-07-18,1
97,1304,2012-07-18,1
97,3910,2012-07-18,1
97,1305,2012-07-18,1
97,3612,2012-07-18,1
97,2704,2012-07-18,1
97,5307,2012-07-18,1
97,2502,2012-07-18,1
97,5108,2012-07-18,1
97,3610,2012-07-18,1
97,False,2012-07-18,1
97,1705,2012-07-18,1
97,3613,2012-07-18,1
97,0640,2012-07-18,1
97,1701,2012-07-18,1
97,0638,2012-07-18,1
97,1709,2012-07-18,1
97,0628,2012-07-18,1
97,3615,2012-07-18,1
97,3408,2012-07-18,1
97,0613,2012-07-18,1
97,3610,2012-07-18,1
